round,institute,program,stream,seat_type,quota,category,is_tfw,opening_rank_clean,closing_rank_clean
Round 1,"Techno India University, Salt Lake",B ARCH,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,23142,100843
Round 1,UNIVERSITY OF ENGINEERING AND MANAGEMENT KOLKATA,Computer Science & Engineering (Artificial Intelligence),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,TFW,True,3456,3921
Round 1,"Budge Budge Institute of Technology, Budge-Budge",Computer Science & Engineering (Artificial Intelligence),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,TFW,True,19601,33522
Round 1,"Nshm Knowledge Campus, Durgapur Group of Institutions",Computer Science & Engineering (Artificial Intelligence),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,TFW,True,21188,37308
Round 1,Swami Vivekananda University,Data Science,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,22050,109949
Round 1,"Meghnad Saha Institute of Technology, Kolkata",ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,False,14348,15551
Round 1,"Techno International New Town, Rajarhat, New Town",ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,False,18476,18476
Round 1,"Netaji Subhas Engineering College, Garia, Kolkata",ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,False,12025,12525
Round 1,"Sister Nivedita University, New Town",ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,False,25055,30301
Round 1,Jadavpur University,PRINTING ENGINEERING,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,False,41161,42268
Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,22235,54414
Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,False,57337,96964
Round 1,"Mallabhum Institute of Technology, Bishnupur, Bankura",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,54700,78990
Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,404504,1228736
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,False,21791,26351
Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,False,6885,11036
Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,False,46215,51239
Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,False,63315,63315
Round 1,"Hooghly Engineering & Technology College, Hooghly",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,39717,110108
Round 1,"Dr. B. C. Roy Engineering College, Durgapur",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,21175,104490
Round 1,"Jis College of Engineering, Kalyani, Nadia",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,55598,109713
Round 1,"Meghnad Saha Institute of Technology, Kolkata",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,466763,1255501
Round 1,"Seacom Engineering College, Sankrail, Howrah",Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,31921,31921
Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,136578,300506
Round 1,"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,501918,746619
Round 1,"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,67790,67790
Round 1,"Techno India University, Salt Lake",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,7042,27068
Round 1,"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,3059,9944
Round 1,University Of Calcutta,Polymer Science & Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,False,4378,5323
Round 1,"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,False,20795,23033
Round 1,Swami Vivekananda University,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,17017,110636
Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,False,1117,2210
Round 1,"Academy of Technology, Adisaptagram, Hooghly",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,61440,81257
Round 1,"Heritage Institute of Technology, Kolkata",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,False,9593,9593
Round 1,"Ideal Institute of Engineering, Kalyani",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,461854,1049006
Round 1,"Murshidabad College of Engineering & Technology, Murshidabad",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,400773,852394
Round 1,University Of Calcutta,Jute & Fibre Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,2587,3907
Round 1,University Of Calcutta,Jute & Fibre Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,False,4819,7067
Round 1,University Of Calcutta,Jute & Fibre Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,False,13120,19166
Round 1,University Of Calcutta,Jute & Fibre Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,False,14074,18845
Round 1,University Of Calcutta,Optics & Optoelectronics,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,False,12697,13278
Round 1,University Of Calcutta,Optics & Optoelectronics,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,False,11735,12799
Round 1,University Of Calcutta,Optics & Optoelectronics,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,1449,1464
Round 1,University Of Calcutta,Optics & Optoelectronics,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,False,40960,40960
Round 1,University Of Calcutta,Optics & Optoelectronics,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,3594,5235
Round 1,University Of Calcutta,Optics & Optoelectronics,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,False,4511,4511
Round 1,University Of Calcutta,Optics & Optoelectronics,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,False,1547,2363
Round 1,University Of Calcutta,Polymer Science & Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,False,12791,15640
Round 1,"Abacus Institute of Engineering & Management, Mogra, Hooghly",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,False,60559,60559
Round 1,"B.P. Poddar Institute of Management & Technology, Kolkata",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,240707,281849
Round 1,"Calcutta Institute of Engineering & Management, Tollygunge, Kolkata",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,12068,97333
Round 1,"Camellia Institute of Technology, Badu Road, Madhyamgram",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,False,94583,94583
Round 1,"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,584196,584196
Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,299885,612055
Round 1,"Global Institute of Management and Technology, Krishnanagar, Nadia",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,147102,147102
Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,18857,105983
Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,8904,92100
Round 1,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,False,1818,3327
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,False,64656,68732
Round 1,"Jis College of Engineering, Kalyani, Nadia",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,236952,921061
Round 1,"Nshm Knowledge Campus, Durgapur Group of Institutions",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,1362821,1362821
Round 1,"Meghnad Saha Institute of Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,13415,43958
Round 1,"Asansol Engineering College, Asansol, Burdwan",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,58791,58791
Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,False,35804,43537
Round 1,"Asansol Engineering College, Asansol, Burdwan",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,3481,245209
Round 1,"Mckv Institute of Engineering, Liluah, Howrah",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,10139,45849
Round 1,"Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,8742,104173
Round 1,"Sister Nivedita University, New Town",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,28562,107504
Round 1,"Techno Engineering Collge Banipur, 24 Parganas-North",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,37493,110387
Round 1,"Techno India University, Salt Lake",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,5966,20190
Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,12693,13232
Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,False,41222,43949
Round 1,Jadavpur University,PRINTING ENGINEERING,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open (PwD),False,92236,92236
Round 1,Jadavpur University,PRINTING ENGINEERING,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,1335,1347
Round 1,Jadavpur University,PRINTING ENGINEERING,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,False,6361,7045
Round 1,Jadavpur University,PRINTING ENGINEERING,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,False,2620,2770
Round 1,Jadavpur University,PRINTING ENGINEERING,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,False,1441,2213
Round 1,Jadavpur University,PRINTING ENGINEERING,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,2607,2607
Round 1,University Of Calcutta,Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,TFW,True,2104,2167
Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,False,6008,11505
Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,False,10126,18147
Round 1,"Camellia Institute of Technology & Management, Bainchi, Hooghly",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,False,110780,110780
Round 1,"Elitte College of Engineering,Mahispota, Sodepur",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,71190,71190
Round 1,"Mallabhum Institute of Technology, Bishnupur, Bankura",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,38851,38851
Round 1,"Netaji Subhas Engineering College, Garia, Kolkata",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,15759,107498
Round 1,"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,6520,18277
Round 1,"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,False,26930,32739
Round 1,"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,False,18981,20686
Round 1,Swami Vivekananda University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,24210,93804
Round 1,"Dr. B. C. Roy Engineering College, Durgapur",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,354645,673428
Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,False,6540,17524
Round 1,"Bengal College of Engineering & Technology, Durgapur",Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,397903,751412
Round 1,"Regent Education and Research Foundation, Barasat, Kolkata",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,1019469,1019469
Round 1,"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,13326,55303
Round 1,"Seacom Skills University, Bolpur",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,28838,28838
Round 1,"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,18869,24502
Round 1,University Of Calcutta,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,False,1183,1392
Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,False,12263,17936
Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,False,27784,41359
Round 1,"Academy of Technology, Adisaptagram, Hooghly",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,35171,100056
Round 1,"College of Engineering and Management, Kolaghat",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,460619,608262
Round 1,University Of Calcutta,Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,False,7600,8038
Round 1,"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,66206,107069
Round 1,"Heritage Institute of Technology, Kolkata",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,49267,79221
Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,33213,49519
Round 1,"B.P. Poddar Institute of Management & Technology, Kolkata",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,TFW,True,22081,23040
Round 1,"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,TFW,True,18377,18377
Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,TFW,True,6856,9809
Round 1,"Mckv Institute of Engineering, Liluah, Howrah",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,TFW,True,21953,23174
Round 1,University Of Calcutta,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,TFW,True,1538,1538
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,TFW,True,11007,14894
Round 1,"Dr. B. C. Roy Engineering College, Durgapur",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,TFW,True,25155,29776
Round 1,"Budge Budge Institute of Technology, Budge-Budge",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,TFW,True,25647,33826
Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,TFW,True,8456,13917
Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,TFW,True,6923,8110
Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,TFW,True,9495,10472
Round 1,"Academy of Technology, Adisaptagram, Hooghly",Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,TFW,True,18645,21058
Round 1,"Techno International New Town, Rajarhat, New Town",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,15641,53859
Round 1,Jadavpur University,Production Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,False,4443,6927
Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,False,882,31434
Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,14842,67444
Round 1,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,False,9913,9913
Round 1,"Rcc Institute of Information Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,36454,36454
Round 1,"Rcc Institute of Information Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open (PwD),False,94266,94266
Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,11550,27330
Round 1,"Techno India University, Salt Lake",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,27827,73481
Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,False,14418,16354
