round,institute,program,stream,seat_type,quota,category,is_tfw,opening_rank_clean,closing_rank_clean
Round 1,"Netaji Subhas Engineering College, Garia, Kolkata",Computer Science & Engineering (IOT),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,76855,76855
Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Computer Science & Engineering (IOT),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,32876,59219
Round 1,"Heritage Institute of Technology, Kolkata",Biotechnology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,False,19296,39513
Round 1,"Heritage Institute of Technology, Kolkata",Biotechnology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,25088,92442
Round 1,"Adamas University, Barasat",Biotechnology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,231427,542532
Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Biotechnology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,False,91991,91991
Round 1,"Heritage Institute of Technology, Kolkata",Biotechnology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,False,52087,52087
Round 1,"Techno India University, Salt Lake",Biotechnology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,False,157171,223844
Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Biotechnology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,False,33473,50792
Round 1,"Heritage Institute of Technology, Kolkata",Biotechnology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,False,18811,18811
